start,end,nbodies,niter,threads
3458239.068543,3458240.464535,1024,1000,13
3458240.468473,3458241.784298,1024,1000,14
3458241.787697,3458251.347853,1024,1000,1
3458251.355539,3458256.813723,1024,1000,2
3458256.821177,3458261.166288,1024,1000,3
3458261.169822,3458264.391771,1024,1000,4
3458264.395968,3458267.356046,1024,1000,5
3458267.362874,3458269.637955,1024,1000,6
3458269.641700,3458271.600590,1024,1000,7
3458271.606314,3458273.329894,1024,1000,8
3458273.336576,3458275.153165,1024,1000,9
3458275.158138,3458276.862846,1024,1000,10
3458276.867306,3458278.581933,1024,1000,11
3458278.585672,3458280.073982,1024,1000,12
3458280.077401,3458281.604384,1024,1000,13
3458281.608338,3458282.995022,1024,1000,14
3458282.998437,3458291.718580,1024,1000,1
3458291.724964,3458297.164981,1024,1000,2
3458297.171910,3458301.560269,1024,1000,3
3458301.565568,3458304.560836,1024,1000,4
3458304.564321,3458307.397786,1024,1000,5
3458307.401792,3458309.558591,1024,1000,6
3458309.562041,3458311.844865,1024,1000,7
3458311.848521,3458313.778523,1024,1000,8
3458313.782315,3458315.630439,1024,1000,9
3458315.634234,3458317.218162,1024,1000,10
3458317.222736,3458318.953748,1024,1000,11
3458318.957598,3458320.365493,1024,1000,12
3458320.368612,3458321.738800,1024,1000,13
3458321.742335,3458323.086728,1024,1000,14
3458323.090450,3458331.953455,1024,1000,1
3458331.960245,3458337.244532,1024,1000,2
3458337.251592,3458341.642521,1024,1000,3
3458341.648443,3458344.704670,1024,1000,4
3458344.708223,3458347.305033,1024,1000,5
3458347.311133,3458349.618159,1024,1000,6
3458349.624318,3458351.830452,1024,1000,7
3458351.834343,3458353.541142,1024,1000,8
3458353.545085,3458355.317858,1024,1000,9
3458355.321553,3458356.898251,1024,1000,10
3458356.905094,3458358.419535,1024,1000,11
3458358.422958,3458359.859553,1024,1000,12
3458359.863718,3458361.193767,1024,1000,13
3458361.197439,3458362.553526,1024,1000,14
3458362.557106,3458371.375539,1024,1000,1
3458371.382341,3458376.920259,1024,1000,2
3458376.924285,3458381.261115,1024,1000,3
3458381.268157,3458384.477499,1024,1000,4
3458384.481419,3458387.094372,1024,1000,5
3458387.100372,3458389.308773,1024,1000,6
3458389.312964,3458391.406179,1024,1000,7
3458391.410023,3458393.133368,1024,1000,8
3458393.136903,3458395.002965,1024,1000,9
3458395.006535,3458396.597609,1024,1000,10
3458396.601195,3458398.114800,1024,1000,11
3458398.118504,3458399.608831,1024,1000,12
3458399.612323,3458401.132132,1024,1000,13
3458401.135540,3458402.470568,1024,1000,14
3458402.474939,3458411.498963,1024,1000,1
3458411.505801,3458416.998938,1024,1000,2
3458417.005252,3458421.139783,1024,1000,3
3458421.143478,3458424.206067,1024,1000,4
3458424.212593,3458427.228392,1024,1000,5
3458427.231958,3458429.670638,1024,1000,6
3458429.674664,3458431.888229,1024,1000,7
3458431.894884,3458433.805974,1024,1000,8
3458433.809547,3458435.479247,1024,1000,9
3458435.483876,3458437.030230,1024,1000,10
3458437.034238,3458438.628993,1024,1000,11
3458438.632408,3458440.015103,1024,1000,12
3458440.018747,3458441.395114,1024,1000,13
3458441.400731,3458442.704207,1024,1000,14
3458442.707600,3458452.838188,1024,1000,1
3458452.844833,3458458.252472,1024,1000,2
3458458.256627,3458462.588170,1024,1000,3
3458462.594612,3458465.791467,1024,1000,4
3458465.798344,3458468.636564,1024,1000,5
3458468.640384,3458470.928409,1024,1000,6
3458470.932345,3458472.870879,1024,1000,7
3458472.874201,3458474.771294,1024,1000,8
3458474.774814,3458476.560825,1024,1000,9
3458476.566814,3458478.125104,1024,1000,10
3458478.128391,3458479.660701,1024,1000,11
3458479.664452,3458481.052616,1024,1000,12
3458481.055982,3458482.502016,1024,1000,13
3458482.505423,3458484.030027,1024,1000,14
3458484.033261,3458494.138803,1024,1000,1
3458494.145415,3458499.732440,1024,1000,2
3458499.739523,3458504.078441,1024,1000,3
3458504.082505,3458507.255024,1024,1000,4
3458507.259263,3458509.975967,1024,1000,5
3458509.980297,3458512.083277,1024,1000,6
3458512.089079,3458514.302560,1024,1000,7
3458514.305890,3458516.207254,1024,1000,8
3458516.210864,3458518.049243,1024,1000,9
3458518.055570,3458519.680098,1024,1000,10
3458519.684352,3458521.175648,1024,1000,11
